,Name,category,family,genus,conservationStatus,aveWingLength,averageBodyMass,aveWingSpan
118,Purple sandpiper,Sandpipers/Allies,Scolopacidae,Calidris,LC,44.0,77.5,44.0
119,Baird's sandpiper,Sandpipers/Allies,Scolopacidae,Calidris,LC,43.0,38.0,43.0
120,Least sandpiper,Sandpipers/Allies,Scolopacidae,Calidris,LC,27.5,24.5,27.5
121,White-rumped sandpiper,Sandpipers/Allies,Scolopacidae,Calidris,LC,43.0,42.0,43.0
122,Buff-breasted sandpiper,Sandpipers/Allies,Scolopacidae,Calidris,NT,46.0,63.0,46.0
123,Pectoral sandpiper,Sandpipers/Allies,Scolopacidae,Calidris,LC,46.0,73.0,46.0
124,Semipalmated sandpiper,Sandpipers/Allies,Scolopacidae,Calidris,NT,46.0,26.0,46.0
125,Western sandpiper,Sandpipers/Allies,Scolopacidae,Calidris,LC,36.0,28.5,36.0
126,Short-billed dowitcher,Sandpipers/Allies,Scolopacidae,Limnodromus,LC,51.0,114.0,51.0
127,Long-billed dowitcher,Sandpipers/Allies,Scolopacidae,Limnodromus,LC,48.0,109.5,48.0
128,American woodcock,Sandpipers/Allies,Scolopacidae,Scolopax,LC,45.0,185.0,45.0
129,Wilson's snipe,Sandpipers/Allies,Scolopacidae,Gallinago,LC,42.0,111.0,42.0
130,Spotted sandpiper,Sandpipers/Allies,Scolopacidae,Actitis,LC,38.5,42.0,38.5
131,Solitary sandpiper,Sandpipers/Allies,Scolopacidae,Tringa,LC,50.0,48.0,50.0
132,Lesser yellowlegs,Sandpipers/Allies,Scolopacidae,Tringa,LC,61.5,85.2,61.5
133,Willet,Sandpipers/Allies,Scolopacidae,Tringa,LC,70.0,265.0,70.0
134,Greater yellowlegs,Sandpipers/Allies,Scolopacidae,Tringa,LC,60.0,180.5,60.0
135,Wilson's phalarope,Sandpipers/Allies,Scolopacidae,Phalaropus,LC,41.0,74.0,41.0
136,Red-necked phalarope,Sandpipers/Allies,Scolopacidae,Phalaropus,LC,38.0,35.0,38.0
137,Red phalarope,Sandpipers/Allies,Scolopacidae,Phalaropus,LC,43.0,55.0,43.0
138,Pomarine jaeger,Skuas and jaegers,Stercorariidae,Stercorarius,LC,124.0,730.0,124.0
139,Parasitic jaeger,Skuas and jaegers,Stercorariidae,Stercorarius,LC,116.0,475.0,116.0
140,Long-tailed jaeger,Skuas and jaegers,Stercorariidae,Stercorarius,LC,109.5,337.0,109.5
141,Dovekie,Auks/Murres/Puffins,Alcidae,Alle,LC,36.0,169.0,36.0
142,Black guillemot,Auks/Murres/Puffins,Alcidae,Cepphus,LC,55.0,380.0,55.0
143,Long-billed murrelet,Auks/Murres/Puffins,Alcidae,Brachyramphus,NT,43.0,260.0,43.0
144,Ancient murrelet,Auks/Murres/Puffins,Alcidae,Synthliboramphus,LC,45.5,201.5,45.5
145,Black-legged kittiwake,Gulls/Terns/Skimmers,Laridae,Rissa,VU,98.0,415.0,98.0
146,Ivory gull,Gulls/Terns/Skimmers,Laridae,Pagophila,NT,114.0,567.5,114.0
147,Sabine's gull,Gulls/Terns/Skimmers,Laridae,Xema,LC,84.0,180.0,84.0
148,Bonaparte's gull,Gulls/Terns/Skimmers,Laridae,Chroicocephalus,LC,80.0,202.5,80.0
149,Black-headed gull,Gulls/Terns/Skimmers,Laridae,Chroicocephalus,LC,99.5,295.0,99.5
150,Little gull,Gulls/Terns/Skimmers,Laridae,Hydrocoloeus,LC,69.5,115.0,69.5
151,Ross's gull,Gulls/Terns/Skimmers,Laridae,Rhodostethia,LC,95.0,195.0,95.0
152,Laughing gull,Gulls/Terns/Skimmers,Laridae,Leucophaeus,LC,104.0,287.0,104.0
153,Franklin's gull,Gulls/Terns/Skimmers,Laridae,Leucophaeus,LC,90.0,265.0,90.0
154,Mew gull,Gulls/Terns/Skimmers,Laridae,Larus,LC,110.5,438.0,110.5
155,Ring-billed gull,Gulls/Terns/Skimmers,Laridae,Larus,LC,111.0,500.0,111.0
156,California gull,Gulls/Terns/Skimmers,Laridae,Larus,LC,129.5,737.5,129.5
157,Herring gull,Gulls/Terns/Skimmers,Laridae,Larus,LC,137.5,1125.0,137.5
158,Iceland gull,Gulls/Terns/Skimmers,Laridae,Larus,LC,132.5,790.0,132.5
159,Lesser black-backed gull,Gulls/Terns/Skimmers,Laridae,Larus,LC,137.0,776.0,137.0
160,Slaty-backed gull,Gulls/Terns/Skimmers,Laridae,Larus,LC,57.5,1375.0,57.5
161,Glaucous-winged gull,Gulls/Terns/Skimmers,Laridae,Larus,LC,135.0,1210.0,135.0
162,Glaucous gull,Gulls/Terns/Skimmers,Laridae,Larus,LC,151.0,1830.0,151.0
163,Great black-backed gull,Gulls/Terns/Skimmers,Laridae,Larus,LC,160.0,1525.0,160.0
164,Least tern,Gulls/Terns/Skimmers,Laridae,Sternula,LC,50.0,45.5,50.0
165,Gull-billed tern,Gulls/Terns/Skimmers,Laridae,Gelochelidon,LC,83.5,221.0,83.5
166,Caspian tern,Gulls/Terns/Skimmers,Laridae,Hydroprogne,LC,136.0,656.0,136.0
167,Black tern,Gulls/Terns/Skimmers,Laridae,Childonias,LC,61.0,62.0,61.0
168,Common tern,Gulls/Terns/Skimmers,Laridae,Sterna,LC,87.5,125.5,87.5
169,Arctic tern,Gulls/Terns/Skimmers,Laridae,Sterna,LC,70.0,106.5,70.0
170,Forster's tern,Gulls/Terns/Skimmers,Laridae,Sterna,LC,67.0,160.0,67.0
171,Sandwich tern,Gulls/Terns/Skimmers,Laridae,Thalasseus,LC,91.0,240.0,91.0
172,Elegant tern,Gulls/Terns/Skimmers,Laridae,Thalasseus,NT,78.5,257.5,78.5
173,Red-throated loon,Loons,Gaviidae,Gavia,LC,105.5,1850.0,105.5
174,Pacific loon,Loons,Gaviidae,Gavia,LC,119.0,1750.0,119.0
175,Common loon,Loons,Gaviidae,Gavia,LC,137.0,4900.0,137.0
176,Yellow-billed loon,Loons,Gaviidae,Gavia,NT,147.5,5200.0,147.5
177,Northern fulmar,Shearwaters and petrels,Procellariidae,Fulmarus,LC,107.0,725.0,107.0
178,Wood stork,Storks,Ciconiidae,Mycteria,LC,160.0,2650.0,160.0
179,Magnificent frigatebird,Frigatebirds,Fregatidae,Fregata,LC,230.5,1345.0,230.5
180,Double-crested cormorant,Cormorants/Shags,Phalacrocoracidae,Phalacrocorax,LC,118.5,1850.0,118.5
181,Neotropic cormorant,Cormorants/Shags,Phalacrocoracidae,Phalacrocorax,LC,100.0,1250.0,100.0
182,American white pelican,Pelicans,Pelecanidae,Pelecanus,LC,270.0,8550.0,270.0
183,Brown pelican,Pelicans,Pelecanidae,Pelecanus,LC,215.5,3500.0,215.5
184,American bittern,Herons/Egrets/Bitterns,Ardeidae,Botarus,LC,103.5,721.0,103.5
185,Least bittern,Herons/Egrets/Bitterns,Ardeidae,Ixobrychus,LC,43.5,76.5,43.5
186,Great blue heron,Herons/Egrets/Bitterns,Ardeidae,Ardea,LC,184.0,2710.0,184.0
187,Great egret,Herons/Egrets/Bitterns,Ardeidae,Ardea,LC,150.5,1100.0,150.5
188,Snowy egret,Herons/Egrets/Bitterns,Ardeidae,Egretta,LC,100.0,370.0,100.0
189,Little blue heron,Herons/Egrets/Bitterns,Ardeidae,Egretta,LC,102.0,325.0,102.0
190,Tricolored heron,Herons/Egrets/Bitterns,Ardeidae,Egretta,LC,96.0,379.5,96.0
191,Cattle egret,Herons/Egrets/Bitterns,Ardeidae,Bubulcus,LC,92.0,391.0,92.0
192,Green heron,Herons/Egrets/Bitterns,Ardeidae,Butorides,LC,66.0,240.0,66.0
193,Black-crowned night-heron,Herons/Egrets/Bitterns,Ardeidae,Nycticorax,LC,116.5,870.5,116.5
194,Yellow-crowned night-heron,Herons/Egrets/Bitterns,Ardeidae,Nyctsnassa,LC,106.5,750.0,106.5
195,White ibis,Ibises/Spoonbills,Threskiornithidae,Eudocimus,LC,97.5,926.85,97.5
196,Glossy ibis,Ibises/Spoonbills,Threskiornithidae,Plegadis,LC,92.5,727.5,92.5
197,White-faced ibis,Ibises/Spoonbills,Threskiornithidae,Plegadis,LC,91.5,487.5,91.5
198,Roseate spoonbill,Ibises/Spoonbills,Threskiornithidae,Platalea,LC,126.5,1500.0,126.5
199,Black vulture,New World vultures,Cathartidae,Coragyps,LC,150.0,2300.0,150.0
200,Turkey vulture,New World vultures,Cathartidae,Cathartes,LC,171.5,1605.0,171.5
201,Osprey,Osprey,Pandionidae,Pandion,LC,153.5,1500.0,153.5
202,White-tailed kite,Hawks/Eagles,Accipitridae,Elanus,LC,95.0,315.0,95.0
203,Swallow-tailed kite,Hawks/Eagles,Accipitridae,Elanoides,LC,124.0,455.0,124.0
204,Golden eagle,Hawks/Eagles,Accipitridae,Aquila,LC,207.0,4425.0,207.0
205,Northern harrier,Hawks/Eagles,Accipitridae,Circus,LC,109.5,520.0,109.5
206,Sharp-shinned hawk,Hawks/Eagles,Accipitridae,Accipiter,LC,55.0,150.5,55.0
207,Cooper's hawk,Hawks/Eagles,Accipitridae,Accipiter,LC,80.5,458.0,80.5
208,Northern goshawk,Hawks/Eagles,Accipitridae,Accipiter,LC,108.0,778.5,108.0
209,Bald eagle,Hawks/Eagles,Accipitridae,Haliaeetus,LC,2050.0,4650.0,2050.0
210,Mississippi kite,Hawks/Eagles,Accipitridae,Ictinia,LC,91.0,301.0,91.0
211,Red-shouldered hawk,Hawks/Eagles,Accipitridae,Buteo,LC,108.5,695.0,108.5
212,Broad-winged hawk,Hawks/Eagles,Accipitridae,Buteo,LC,87.0,412.5,87.0
213,Swainson's hawk,Hawks/Eagles,Accipitridae,Buteo,LC,127.0,1100.0,127.0
214,Red-tailed hawk,Hawks/Eagles,Accipitridae,Buteo,LC,125.5,1145.0,125.5
215,Rough-legged hawk,Hawks/Eagles,Accipitridae,Buteo,LC,136.5,1130.0,136.5
216,Ferruginous hawk,Hawks/Eagles,Accipitridae,Buteo,LC,137.0,1587.5,137.0
217,Barn owl,Barn-owls,Tytonidae,Tyto,LC,87.5,467.0,87.5
218,Eastern screech-owl,Owls,Strigidae,Megascops,LC,53.5,182.5,53.5
219,Great horned owl,Owls,Strigidae,Bubo,LC,122.0,1705.0,122.0
220,Snowy owl,Owls,Strigidae,Bubo,VU,140.8,2125.5,140.8
221,Northern hawk owl,Owls,Strigidae,Surnia,LC,45.0,300.0,45.0
222,Burrowing owl,Owls,Strigidae,Athene,LC,55.9,190.0,55.9
223,Barred owl,Owls,Strigidae,Strix,LC,110.5,809.0,110.5
224,Great gray owl,Owls,Strigidae,Strix,LC,141.0,1240.0,141.0
225,Long-eared owl,Owls,Strigidae,Asio,LC,94.0,297.5,94.0
226,Short-eared owl,Owls,Strigidae,Asio,LC,97.5,340.5,97.5
227,Boreal owl,Owls,Strigidae,Aegolius,LC,56.0,154.0,56.0
228,Northern saw-whet owl,Owls,Strigidae,Aegolius,LC,49.15,102.5,49.15
229,Belted kingfisher,Kingfishers,Alcedinidae,Megaceryle,LC,53.0,145.5,53.0
230,Lewis's woodpecker,Woodpeckers,Picidae,Melanerpes,LC,50.5,113.0,50.5
231,Red-headed woodpecker,Woodpeckers,Picidae,Melanerpes,LC,42.5,76.5,42.5
232,Acorn woodpecker,Woodpeckers,Picidae,Melanerpes,LC,39.0,77.5,39.0
233,Red-bellied woodpecker,Woodpeckers,Picidae,Melanerpes,LC,42.0,73.5,42.0
234,Williamson's sapsucker,Woodpeckers,Picidae,Sphyrapicus,LC,43.0,49.5,43.0
235,Yellow-bellied sapsucker,Woodpeckers,Picidae,Sphyrapicus,LC,37.0,48.5,37.0
236,American three-toed woodpecker,Woodpeckers,Picidae,Picoides,LC,38.0,55.0,38.0
237,Black-backed woodpecker,Woodpeckers,Picidae,Picoides,LC,41.0,74.5,41.0
238,Downy woodpecker,Woodpeckers,Picidae,Dryobates,LC,28.0,26.5,28.0
239,Hairy woodpecker,Woodpeckers,Picidae,Leuconotopicus,LC,38.0,67.5,38.0
240,Northern flicker,Woodpeckers,Picidae,Colaptes,LC,48.0,126.5,48.0
241,Pileated woodpecker,Woodpeckers,Picidae,Dryocopus,LC,70.5,325.0,70.5
242,Crested caracara,Falcons /Caracaras,Falconidae,Caracara,LC,125.0,1044.0,125.0
243,American kestrel,Falcons /Caracaras,Falconidae,Falco,LC,56.0,122.5,56.0
244,Merlin,Falcons /Caracaras,Falconidae,Falco,LC,61.5,167.5,61.5
245,Gyrfalcon,Falcons /Caracaras,Falconidae,Hierofalco,LC,135.0,1452.5,135.0
246,Peregrine falcon,Falcons /Caracaras,Falconidae,Falco,LC,97.0,915.0,97.0
247,Prairie falcon,Falcons /Caracaras,Falconidae,Falco,LC,1100.0,735.0,1100.0
248,Ash-throated flycatcher,Tyrant flycatchers,Tyrannidae,Myiarchus,LC,31.0,28.5,31.0
249,Great crested flycatcher,Tyrant flycatchers,Tyrannidae,Myiarchus,LC,34.0,33.5,34.0
250,Tropical kingbird,Tyrant flycatchers,Tyrannidae,Tyrannus,LC,39.5,39.0,39.5
251,Cassin's kingbird,Tyrant flycatchers,Tyrannidae,Tyrannus,LC,41.0,45.0,41.0
252,Western kingbird,Tyrant flycatchers,Tyrannidae,Tyrannus,LC,39.0,40.0,39.0
253,Eastern kingbird,Tyrant flycatchers,Tyrannidae,Tyrannus,LC,35.5,44.0,35.5
254,Scissor-tailed flycatcher,Tyrant flycatchers,Tyrannidae,Tyrannus,LC,15.0,43.0,15.0
255,Fork-tailed flycatcher,Tyrant flycatchers,Tyrannidae,Tyrannus,LC,38.0,30.0,38.0
256,Olive-sided flycatcher,Tyrant flycatchers,Tyrannidae,Contopus,NT,33.0,34.2,33.0
257,Western wood-pewee,Tyrant flycatchers,Tyrannidae,Contopus,LC,26.0,12.5,26.0
258,Eastern wood-pewee,Tyrant flycatchers,Tyrannidae,Contopus,LC,24.5,14.0,24.5
259,Yellow-bellied flycatcher,Tyrant flycatchers,Tyrannidae,Empidonax,LC,19.0,12.5,19.0
260,Acadian flycatcher,Tyrant flycatchers,Tyrannidae,Empidonax,LC,22.5,12.5,22.5
261,Alder flycatcher,Tyrant flycatchers,Tyrannidae,Empidonax,LC,22.5,13.0,22.5
262,Willow flycatcher,Tyrant flycatchers,Tyrannidae,Empidonax,LC,22.0,13.5,22.0
263,Least flycatcher,Tyrant flycatchers,Tyrannidae,Empidonax,LC,20.5,10.3,20.5
264,Eastern phoebe,Tyrant flycatchers,Tyrannidae,Sayornis,LC,27.0,18.5,27.0
265,Say's phoebe,Tyrant flycatchers,Tyrannidae,Sayornis,LC,33.0,21.0,33.0
266,Vermilion flycatcher,Tyrant flycatchers,Tyrannidae,Pyrocephalus,LC,24.5,12.5,24.5
267,Loggerhead shrike,Shrikes,Laniidae,Lanius,NT,30.0,42.5,30.0
268,Northern shrike,Shrikes,Laniidae,Lanius,LC,32.5,67.5,32.5
269,White-eyed vireo,Vireos/Shrike-babblers/Erpornis,Vireonidae,Vireo,LC,17.0,12.0,17.0
270,Bell's vireo,Vireos/Shrike-babblers/Erpornis,Vireonidae,Vireo,LC,18.0,8.600000000000001,18.0
271,Yellow-throated vireo,Vireos/Shrike-babblers/Erpornis,Vireonidae,Vireo,LC,23.0,18.0,23.0
272,Blue-headed vireo,Vireos/Shrike-babblers/Erpornis,Vireonidae,Vireo,LC,22.0,16.0,22.0
273,Philadelphia vireo,Vireos/Shrike-babblers/Erpornis,Vireonidae,Vireo,LC,20.0,12.0,20.0
274,Warbling vireo,Vireos/Shrike-babblers/Erpornis,Vireonidae,Vireo,LC,22.0,13.0,22.0
275,Red-eyed vireo,Vireos/Shrike-babblers/Erpornis,Vireonidae,Vireo,LC,24.0,19.0,24.0
276,Canada jay,Crows/Jays/Magpies,Corvidae,Perisoreus,LC,45.0,67.5,45.0
277,Blue jay,Crows/Jays/Magpies,Corvidae,Cyanocitta,LC,38.5,85.0,38.5
